system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.956,0.95,0.953,0.871,0.794,0.831,0.931,0.958,0.944,0.919,0.901,0.909
baseline,test,0.967,0.946,0.956,0.918,0.808,0.859,0.933,0.975,0.953,0.939,0.91,0.923
improved,train,0.998,0.999,0.999,1.0,0.995,0.997,0.999,1.0,0.999,0.999,0.998,0.998
improved,dev,0.963,0.95,0.956,0.889,0.792,0.838,0.931,0.967,0.949,0.928,0.903,0.914
improved,test,0.966,0.955,0.961,0.923,0.802,0.858,0.933,0.975,0.953,0.941,0.911,0.924
